po_number,vendor_name,vendor_country,sku_id,sku_name,size,quantity_ordered,order_date,eta_date,actual_arrival,destination,status,notes
"PO-2026-1003","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK6","2","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1003","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK7","5","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1003","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK8","6","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1003","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK9","8","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1003","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK10","4","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1003","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK11","3","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1004","Artcraft Leather Goods","India","neptune","Neptune","UK6","2","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1004","Artcraft Leather Goods","India","neptune","Neptune","UK7","4","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1004","Artcraft Leather Goods","India","neptune","Neptune","UK8","11","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1004","Artcraft Leather Goods","India","neptune","Neptune","UK9","6","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1004","Artcraft Leather Goods","India","neptune","Neptune","UK10","5","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1004","Artcraft Leather Goods","India","neptune","Neptune","UK11","3","2026-04-07","2026-05-12","2026-05-12","WH-BLR-MAIN","Delivered",""
"PO-2026-1005","Binh Duong Footwear Ltd.","Vietnam","madagascar","Madagascar","UK6","2","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1005","Binh Duong Footwear Ltd.","Vietnam","madagascar","Madagascar","UK7","5","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1005","Binh Duong Footwear Ltd.","Vietnam","madagascar","Madagascar","UK8","10","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1005","Binh Duong Footwear Ltd.","Vietnam","madagascar","Madagascar","UK9","9","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1005","Binh Duong Footwear Ltd.","Vietnam","madagascar","Madagascar","UK10","5","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1005","Binh Duong Footwear Ltd.","Vietnam","madagascar","Madagascar","UK11","3","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1006","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK6","2","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1006","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK7","5","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1006","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK8","6","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1006","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK9","8","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1006","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK10","6","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1006","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK11","2","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1007","PT Jakarta Sole Works","Indonesia","neptune","Neptune","UK6","2","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1007","PT Jakarta Sole Works","Indonesia","neptune","Neptune","UK7","3","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1007","PT Jakarta Sole Works","Indonesia","neptune","Neptune","UK8","8","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1007","PT Jakarta Sole Works","Indonesia","neptune","Neptune","UK9","7","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1007","PT Jakarta Sole Works","Indonesia","neptune","Neptune","UK10","5","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1007","PT Jakarta Sole Works","Indonesia","neptune","Neptune","UK11","2","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1008","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK6","2","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1008","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK7","5","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1008","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK8","9","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1008","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK9","6","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1008","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK10","6","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1008","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK11","3","2026-04-14","2026-05-16","2026-05-16","WH-BLR-MAIN","Delivered",""
"PO-2026-1009","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK6","2","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1009","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK7","5","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1009","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK8","9","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1009","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK9","6","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1009","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK10","5","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1009","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK11","2","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1010","PT Jakarta Sole Works","Indonesia","chestnut","Chestnut","UK6","2","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1010","PT Jakarta Sole Works","Indonesia","chestnut","Chestnut","UK7","6","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1010","PT Jakarta Sole Works","Indonesia","chestnut","Chestnut","UK8","8","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1010","PT Jakarta Sole Works","Indonesia","chestnut","Chestnut","UK9","7","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1010","PT Jakarta Sole Works","Indonesia","chestnut","Chestnut","UK10","5","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1010","PT Jakarta Sole Works","Indonesia","chestnut","Chestnut","UK11","3","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1011","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK6","2","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1011","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK7","5","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1011","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK8","10","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1011","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK9","7","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1011","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK10","6","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1011","Binh Duong Footwear Ltd.","Vietnam","saffron","Apex Cyberpunk","UK11","2","2026-04-28","2026-05-23","","WH-BLR-MAIN","At Port","Awaiting unloading slot — JNPT"
"PO-2026-1012","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK6","3","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1012","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK7","3","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1012","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK8","10","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1012","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK9","6","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1012","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK10","6","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1012","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK11","2","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1013","PT Jakarta Sole Works","Indonesia","mango-chilli","Mango Chilli","UK6","2","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1013","PT Jakarta Sole Works","Indonesia","mango-chilli","Mango Chilli","UK7","4","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1013","PT Jakarta Sole Works","Indonesia","mango-chilli","Mango Chilli","UK8","6","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1013","PT Jakarta Sole Works","Indonesia","mango-chilli","Mango Chilli","UK9","10","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1013","PT Jakarta Sole Works","Indonesia","mango-chilli","Mango Chilli","UK10","4","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1013","PT Jakarta Sole Works","Indonesia","mango-chilli","Mango Chilli","UK11","3","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1014","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK6","3","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1014","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK7","6","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1014","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK8","6","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1014","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK9","6","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1014","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK10","5","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1014","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK11","3","2026-04-30","2026-05-25","","WH-BLR-MAIN","In Transit","Flight EK-512, departs Dubai 21 May"
"PO-2026-1015","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK6","2","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1015","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK7","4","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1015","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK8","10","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1015","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK9","8","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1015","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK10","5","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1015","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK11","2","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1016","Artcraft Leather Goods","India","mango-chilli","Mango Chilli","UK6","2","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1016","Artcraft Leather Goods","India","mango-chilli","Mango Chilli","UK7","4","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1016","Artcraft Leather Goods","India","mango-chilli","Mango Chilli","UK8","7","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1016","Artcraft Leather Goods","India","mango-chilli","Mango Chilli","UK9","7","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1016","Artcraft Leather Goods","India","mango-chilli","Mango Chilli","UK10","5","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1016","Artcraft Leather Goods","India","mango-chilli","Mango Chilli","UK11","3","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1017","Binh Duong Footwear Ltd.","Vietnam","chestnut","Chestnut","UK6","2","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1017","Binh Duong Footwear Ltd.","Vietnam","chestnut","Chestnut","UK7","4","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1017","Binh Duong Footwear Ltd.","Vietnam","chestnut","Chestnut","UK8","11","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1017","Binh Duong Footwear Ltd.","Vietnam","chestnut","Chestnut","UK9","9","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1017","Binh Duong Footwear Ltd.","Vietnam","chestnut","Chestnut","UK10","4","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1017","Binh Duong Footwear Ltd.","Vietnam","chestnut","Chestnut","UK11","2","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1018","Artcraft Leather Goods","India","neptune","Neptune","UK6","2","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1018","Artcraft Leather Goods","India","neptune","Neptune","UK7","4","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1018","Artcraft Leather Goods","India","neptune","Neptune","UK8","9","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1018","Artcraft Leather Goods","India","neptune","Neptune","UK9","7","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1018","Artcraft Leather Goods","India","neptune","Neptune","UK10","5","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1018","Artcraft Leather Goods","India","neptune","Neptune","UK11","3","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1019","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK6","2","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1019","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK7","4","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1019","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK8","6","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1019","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK9","7","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1019","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK10","4","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1019","PT Jakarta Sole Works","Indonesia","saffron","Apex Cyberpunk","UK11","3","2026-05-02","2026-05-27","","WH-BLR-MAIN","In Transit","Customs clearance in progress"
"PO-2026-1020","Foshan Athletic Mfg Co.","China","madagascar","Madagascar","UK6","2","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1020","Foshan Athletic Mfg Co.","China","madagascar","Madagascar","UK7","3","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1020","Foshan Athletic Mfg Co.","China","madagascar","Madagascar","UK8","7","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1020","Foshan Athletic Mfg Co.","China","madagascar","Madagascar","UK9","6","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1020","Foshan Athletic Mfg Co.","China","madagascar","Madagascar","UK10","5","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1020","Foshan Athletic Mfg Co.","China","madagascar","Madagascar","UK11","3","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1021","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK6","2","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1021","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK7","5","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1021","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK8","10","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1021","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK9","6","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1021","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK10","3","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1021","Foshan Athletic Mfg Co.","China","mango-chilli","Mango Chilli","UK11","2","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1022","Foshan Athletic Mfg Co.","China","neptune","Neptune","UK6","2","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1022","Foshan Athletic Mfg Co.","China","neptune","Neptune","UK7","5","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1022","Foshan Athletic Mfg Co.","China","neptune","Neptune","UK8","9","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1022","Foshan Athletic Mfg Co.","China","neptune","Neptune","UK9","8","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1022","Foshan Athletic Mfg Co.","China","neptune","Neptune","UK10","6","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1022","Foshan Athletic Mfg Co.","China","neptune","Neptune","UK11","3","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1023","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK6","2","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1023","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK7","4","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1023","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK8","7","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1023","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK9","9","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1023","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK10","5","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1023","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK11","3","2026-05-07","2026-05-31","","WH-BLR-MAIN","Confirmed","Production complete, awaiting dispatch"
"PO-2026-1024","Artcraft Leather Goods","India","madagascar","Madagascar","UK6","3","2026-05-12","2026-06-04","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1024","Artcraft Leather Goods","India","madagascar","Madagascar","UK7","5","2026-05-12","2026-06-04","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1024","Artcraft Leather Goods","India","madagascar","Madagascar","UK8","7","2026-05-12","2026-06-04","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1024","Artcraft Leather Goods","India","madagascar","Madagascar","UK9","8","2026-05-12","2026-06-04","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1024","Artcraft Leather Goods","India","madagascar","Madagascar","UK10","6","2026-05-12","2026-06-04","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1024","Artcraft Leather Goods","India","madagascar","Madagascar","UK11","2","2026-05-12","2026-06-04","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1025","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK6","2","2026-05-15","2026-06-09","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1025","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK7","5","2026-05-15","2026-06-09","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1025","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK8","9","2026-05-15","2026-06-09","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1025","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK9","8","2026-05-15","2026-06-09","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1025","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK10","4","2026-05-15","2026-06-09","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1025","PT Jakarta Sole Works","Indonesia","madagascar","Madagascar","UK11","3","2026-05-15","2026-06-09","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1026","Artcraft Leather Goods","India","mango-chilli","Mango Chilli","UK6","2","2026-05-15","2026-06-09","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1026","Artcraft Leather Goods","India","mango-chilli","Mango Chilli","UK7","5","2026-05-15","2026-06-09","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1026","Artcraft Leather Goods","India","mango-chilli","Mango Chilli","UK8","11","2026-05-15","2026-06-09","","WH-BLR-MAIN","Confirmed",""
"PO-2026-1026","Artcraft Leather Goods","India","mango-chilli","Mango Chilli","UK9","9","2026-05-15","2026-06-09","","WH-BLR-MAIN","Confirmed",""
